Date;Tmean;Rain
01.06.2015;18.79236111;0
02.06.2015;20.36944444;0
03.06.2015;21.54236111;0
04.06.2015;22.70555556;0
05.06.2015;23.42361111;0
06.06.2015;21.33263889;25.2
07.06.2015;20.5125;12.7
08.06.2015;17.95208333;4.8
09.06.2015;15.86041667;9
10.06.2015;17.90138889;0
11.06.2015;19.22916667;13
12.06.2015;21.86736111;0
13.06.2015;22.66944444;0.3
14.06.2015;18.93958333;0.8
15.06.2015;16.62986111;14.1
16.06.2015;14.92430556;3.1
17.06.2015;15.45;0
18.06.2015;15.30972222;3.3
19.06.2015;14.43819444;4.4
20.06.2015;11.09513889;7.1
21.06.2015;12.425;0.1
22.06.2015;16.44097222;2.1
23.06.2015;15.56736111;4
24.06.2015;15.7875;0
25.06.2015;16.41041667;0
26.06.2015;18.82986111;0
27.06.2015;17.07569444;8.9
28.06.2015;18.70972222;0
29.06.2015;19.31180556;0
30.06.2015;21.07777778;0
